,genotype,fitness,tree_depth,phenotype,other_info,mapping_values
54,"[[0], [0, 3, 1], [3], [1], [0], [0, 0], [0], [9, 9, 9, 4, 5, 8, 1, 8, 2, 2, 3]]",,6,0.999+((x[0])|_div_|((_exp_((x[0]-45.81)|_div_|82.23)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 1, 2, 1, 11]"
55,"[[0], [3], [], [], [0], [], [0], [2, 3, 5]]",,3,0.235+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 1, 0, 1, 3]"
56,"[[0], [0, 1, 3], [2], [2], [0], [0, 0], [0], [0, 9, 9, 9, 9, 4, 5, 6, 0, 1, 7]]",,6,0.099+(((_exp_((x[0]-99.45)|_div_|60.17)))*(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 1, 2, 1, 11]"
57,"[[0], [0, 2, 3], [3], [], [0], [0], [0], [2, 9, 1, 6, 6, 0, 0]]",,5,0.291+((66.00)|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 1, 1, 1, 7]"
58,"[[0], [3], [], [], [0], [], [0], [8, 8, 8]]",,3,0.888+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 1, 0, 1, 3]"
59,"[[0], [3], [], [], [0], [], [0], [8, 8, 8]]",,3,0.888+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 1, 0, 1, 3]"
60,"[[0], [1], [], [3], [], [0], [0, 0], [0, 1, 9, 0, 6, 7, 6, 2, 4, 3]]",0.3216750024114484,5,0.019+((_sig_(0.067*(x[0]-62.43)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
61,"[[0], [1], [], [1], [], [0, 0], [0], [4, 4, 0, 6, 7, 4, 0, 3, 9, 0, 7]]",0.7351363638708417,5,0.440+((_exp_((x[0]-67.40)|_div_|39.07))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
62,"[[0], [2], [], [], [], [0], [0], [5, 1, 7, 3, 2, 5, 2]]",3.4801330752473483,4,0.517+(32.52),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
63,"[[0], [3], [], [], [0], [], [0], [6, 1, 3]]",,3,0.613+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 1, 0, 1, 3]"
64,"[[0], [0, 1, 3], [3], [3], [0], [0], [0, 0], [1, 2, 4, 4, 4, 0, 9, 6, 0, 1]]",0.07366898468722467,6,0.124+(((_sig_(0.440*(x[0]-96.01))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 1, 1, 2, 10]"
65,"[[0], [1], [], [3], [], [0], [0, 0], [7, 1, 2, 0, 9, 1, 9, 9, 1, 9]]",0.5257462473117255,5,0.712+((_sig_(0.091*(x[0]-99.19)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
66,"[[0], [1], [], [2], [], [0, 0], [0], [5, 6, 1, 8, 7, 7, 6, 1, 0, 7, 3]]",0.5541860172564086,5,0.561+((_exp_((x[0]-87.76)|_div_|10.73))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
67,"[[0], [1], [], [3], [], [0], [0, 0], [8, 1, 0, 1, 6, 5, 9, 7, 4, 6]]",0.5674003398355473,5,0.810+((_sig_(0.165*(x[0]-97.46)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
68,"[[0], [1], [], [3], [], [0], [0, 0], [0, 1, 3, 5, 5, 7, 0, 6, 7, 2]]",0.5962063715024171,5,0.013+((_sig_(0.557*(x[0]-06.72)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
69,"[[0], [0, 3, 3], [1], [], [0, 0], [], [0], [9, 2, 5]]",0.6079816601988584,4,0.925+((x[0])-(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 2, 0, 1, 3]"
70,"[[0], [1], [], [3], [], [0], [0, 0], [8, 1, 3, 7, 2, 3, 7, 4, 4, 5]]",0.6506886159530302,5,0.813+((_sig_(0.723*(x[0]-74.45)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
