,genotype,fitness,tree_depth,phenotype,other_info,mapping_values
0,"[[0], [1], [], [2], [], [0], [0, 0], [1, 7, 0, 8, 5, 7, 9, 6, 5, 2]]",1.9108957423705752,5,0.170+((_sig_(0.857*(x[0]-96.52)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
1,"[[0], [1], [], [2], [], [0], [0, 0], [0, 3, 2, 9, 3, 5, 9, 2, 5, 4]]",1.9244622451477629,5,0.032+((_sig_(0.935*(x[0]-92.54)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
2,"[[0], [1], [], [2], [], [0], [0, 0], [2, 6, 5, 8, 3, 2, 9, 6, 9, 1]]",2.584192277449055,5,0.265+((_sig_(0.832*(x[0]-96.91)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
3,"[[0], [0, 1, 0, 2, 2], [3, 0], [2], [], [0, 0, 0], [0, 0], [3, 2, 1, 9, 0, 6, 3, 3, 9, 3, 2, 0, 4, 8, 2, 3, 3, 9]]",2.7363580743213367,6,0.321+(((_sig_(0.906*(x[0]-33.93))))|_div_|((20.48)+(23.39))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 5, 2, 1, 0, 3, 2, 18]"
4,"[[0], [0, 0, 1, 0, 3, 3, 1], [3, 3, 2], [2, 2], [0, 0], [0, 0], [0, 0, 0], [3, 2, 1, 2, 1, 8, 0, 8, 9, 8, 1, 0, 8, 9, 2, 9, 9]]",3.604526154173235,7,0.321+((((_sig_(0.218*(x[0]-08.98))))|_div_|((x[0])|_div_|(x[0])))*((_sig_(0.108*(x[0]-92.99))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 7, 3, 2, 2, 2, 3, 17]"
5,"[[0], [0, 1, 1], [3], [2, 1], [], [0, 0, 0], [0, 0], [1, 8, 8, 2, 4, 8, 6, 4, 9, 4, 6, 8, 3, 1, 0, 9, 7, 6]]",3.8979216947993245,6,0.188+(((_sig_(0.248*(x[0]-64.94))))|_div_|((_exp_((x[0]-68.31)|_div_|09.76)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 2, 0, 3, 2, 18]"
6,"[[0], [1, 0, 2, 2], [1], [0], [], [0, 0], [0], [4, 7, 4, 0, 2, 9, 0, 5, 5, 6, 1]]",4.04556972982364,7,0.474+((_exp_((02.90)-(55.61)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 4, 1, 1, 0, 2, 1, 11]"
7,"[[0], [1], [], [1], [], [0, 0], [0], [0, 2, 4, 9, 3, 0, 9, 3, 7, 6, 0]]",4.196101551699846,5,0.024+((_exp_((x[0]-93.09)|_div_|37.60))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
8,"[[0], [1], [], [2], [], [0], [0, 0], [3, 4, 9, 6, 2, 5, 8, 3, 0, 4]]",4.658873478205677,5,0.349+((_sig_(0.625*(x[0]-83.04)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
9,"[[0], [1], [], [2], [], [0], [0, 0], [2, 3, 0, 3, 8, 6, 7, 5, 6, 1]]",4.668661154909393,5,0.230+((_sig_(0.386*(x[0]-75.61)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
10,"[[0], [0, 3, 3], [1], [], [0, 0], [], [0], [5, 5, 1]]",4.775017678108432,4,0.551+((x[0])-(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 2, 0, 1, 3]"
11,"[[0], [0, 1, 2], [3], [1], [], [0, 0, 0], [0], [5, 3, 5, 4, 2, 1, 2, 9, 2, 1, 4, 1, 9, 3, 2]]",5.154889382042486,6,0.535+(((_exp_((x[0]-42.12)|_div_|92.14)))|_div_|(19.32)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 0, 3, 1, 15]"
12,"[[0], [0, 3, 3], [1], [], [0, 0], [], [0], [6, 3, 1]]",5.533175828419342,4,0.631+((x[0])-(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 2, 0, 1, 3]"
13,"[[0], [2], [], [], [], [0], [0], [1, 4, 3, 0, 0, 5, 0]]",5.646917821829666,4,0.143+(00.50),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
14,"[[0], [1], [], [2], [], [0], [0, 0], [6, 0, 1, 3, 2, 9, 9, 4, 0, 7]]",5.805876113482757,5,0.601+((_sig_(0.329*(x[0]-94.07)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
15,"[[0], [1], [], [2], [], [0], [0, 0], [3, 1, 8, 6, 0, 9, 7, 2, 0, 2]]",5.850450169243812,5,0.318+((_sig_(0.609*(x[0]-72.02)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
