,genotype,fitness,mapping_values,tree_depth,phenotype,other_info
369,"[[0], [3, 0, 2, 3, 1], [0, 3, 2, 3], [2, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [5, 2, 8, 2, 2, 7, 2, 3, 3, 2, 8, 9, 0, 6, 4, 8, 9, 8, 4, 8, 8, 9]]",509.9477744125713,"[1, 1, 0, 0, 1, 0, 1, 3]",3,0.528+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
370,"[[0], [3, 2, 1, 1, 1], [3, 0, 0, 3, 0, 2], [0, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [5, 8, 0, 2, 4, 8, 9, 6, 3, 1, 8, 3, 0, 7, 4, 8, 4, 8, 4, 8, 8, 9]]",510.35351102440154,"[1, 1, 0, 0, 1, 0, 1, 3]",3,0.580+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
371,"[[0], [3, 0, 1, 3, 1], [3, 3, 0, 3], [2, 0], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0], [6, 2, 0, 1, 9, 8, 9, 0, 3, 7, 4, 1, 4, 6, 4, 7, 9, 2, 4, 8, 8, 9]]",510.66572103029876,"[1, 1, 0, 0, 1, 0, 1, 3]",3,0.620+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
372,"[[0], [3, 0, 3, 3, 1], [3, 1, 0, 3], [2, 1], [0, 0], [0, 0, 0], [0, 0, 0], [6, 2, 3, 6, 4, 0, 1, 6, 1, 5, 8, 3, 0, 3, 4, 9, 9, 9, 4, 8, 8, 9]]",510.6891404532991,"[1, 1, 0, 0, 1, 0, 1, 3]",3,0.623+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
373,"[[0], [3, 1, 1, 3, 3, 3, 0, 0, 2, 1, 1, 2], [2, 0, 0, 3], [2, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0], [6, 6, 1, 2, 2, 5, 7, 1, 7, 6, 6, 3, 7, 9, 6, 1, 2, 8, 4, 8, 8, 9]]",510.9858307784741,"[1, 1, 0, 0, 1, 0, 1, 3]",3,0.661+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
374,"[[0], [3, 3, 3, 0, 0, 3, 0, 2, 3, 0, 3, 1, 0, 0, 2, 0, 1, 0, 0, 2, 2, 0, 1, 2], [3, 3, 0, 3], [2, 1], [0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [7, 1, 5, 2, 7, 1, 2, 3, 3, 5, 8, 3, 0, 0, 4, 9, 9, 2, 4, 8, 8, 9]]",511.4075844020988,"[1, 1, 0, 0, 1, 0, 1, 3]",3,0.715+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
375,"[[0], [0, 3, 1, 3, 2, 1, 1], [0, 3, 0, 3], [2, 1, 2], [0, 0], [0, 0, 0, 0], [0, 0, 0], [0, 2, 8, 2, 4, 6, 5, 1, 9, 9, 3, 0, 1, 7, 9, 5, 9, 3, 4, 8, 8, 5, 9, 7, 3]]",511.52529871759276,"[1, 3, 1, 1, 1, 1, 2, 10]",6,0.028+((x[0])+((_sig_(0.246*(x[0]-51.99))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
376,"[[0], [3, 1, 0, 0, 3, 2], [3, 3, 0, 3], [2, 1], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0], [8, 2, 0, 2, 9, 1, 7, 6, 9, 9, 8, 4, 4, 8, 4, 0, 2, 2, 4, 8, 8, 9, 0, 1, 1]]",512.2281334890732,"[1, 1, 0, 0, 1, 0, 1, 3]",3,0.820+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
377,"[[0], [3, 1, 1, 1, 2], [3, 2, 0, 3], [0, 1], [0, 0, 0], [0, 0, 0], [0, 0], [8, 2, 0, 2, 4, 9, 2, 6, 1, 4, 8, 3, 3, 7, 4, 6, 9, 2, 4, 8, 8, 9]]",512.2281334890732,"[1, 1, 0, 0, 1, 0, 1, 3]",3,0.820+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
378,"[[0], [3, 0, 0, 1, 0, 1, 1, 0, 0, 3, 2, 0, 2, 1, 1, 3], [3, 3, 0, 3, 3, 2, 0], [0, 0, 1, 1], [0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0], [8, 2, 2, 4, 7, 7, 2, 6, 7, 8, 8, 1, 1, 7, 4, 7, 7, 2, 5, 2, 6, 9, 0, 2, 4, 9, 8, 6, 2, 8, 0, 0, 9, 6, 9, 0, 2, 8]]",512.2437690384558,"[1, 1, 0, 0, 1, 0, 1, 3]",3,0.822+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
379,"[[0], [3, 0, 1, 1, 3, 0, 2, 2, 2], [0, 3, 2, 3], [2, 0], [0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0], [8, 2, 8, 2, 0, 9, 6, 5, 0, 4, 8, 3, 0, 0, 4, 9, 8, 0, 4, 8, 8, 9]]",512.2906770396979,"[1, 1, 0, 0, 1, 0, 1, 3]",3,0.828+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
380,"[[0], [3, 1, 1, 1, 2], [1, 3, 0, 3], [2, 1], [0, 0, 0], [0, 0, 0], [0, 0, 0], [8, 3, 9, 5, 0, 1, 7, 5, 9, 7, 8, 1, 1, 7, 4, 7, 9, 7, 4, 8, 8, 9]]",512.3766803118763,"[1, 1, 0, 0, 1, 0, 1, 3]",3,0.839+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
