,genotype,fitness,tree_depth,phenotype,other_info,mapping_values
448,"[[0], [0, 2, 2], [0], [], [], [], [0, 0], [0], [6, 4, 4, 8, 7, 2, 0, 8, 5, 2, 8]]",173.07518014568294,5,0.644+((87.20)+(85.28)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 0, 0, 2, 1, 11]"
449,"[[0], [0, 1, 1], [2], [2, 2], [], [], [0, 0, 0, 0], [0], [5, 6, 5, 3, 2, 8, 7, 1, 0, 5, 5, 3, 0, 8, 3, 7, 3, 5, 9]]",260.3103945037179,6,0.565+(((_exp_((x[0]-32.87)|_div_|10.55)))*((_exp_((x[0]-30.83)|_div_|73.59)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 2, 0, 0, 4, 1, 19]"
450,"[[0], [0, 2, 3], [2], [], [0], [], [0], [0], [0, 8, 1, 0, 6, 3, 2]]",337.24527408475046,5,0.081+((06.32)*(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 1, 0, 1, 1, 7]"
451,"[[0], [0, 4, 1], [2], [2], [0], [0], [0, 0], [0], [0, 0, 6, 3, 9, 8, 0, 1, 8, 3, 0]]",375.2478433562922,6,0.006+(((x[0]-33.941))*((_exp_((x[0]-39.80)|_div_|18.30)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 1, 1, 2, 1, 11]"
452,"[[0], [0, 4, 1], [0], [1], [0], [0], [0, 0], [0], [8, 0, 1, 3, 3, 0, 5, 0, 7, 6, 6]]",1033.2863930895805,6,0.801+(((x[0]-33.941))+((_exp_((x[0]-33.05)|_div_|07.66)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 1, 1, 2, 1, 11]"
453,"[[0], [0, 2, 3], [2], [], [0], [], [0], [0], [7, 9, 0, 1, 9, 8, 1]]",1057.6126870824037,5,0.790+((19.81)*(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 1, 0, 1, 1, 7]"
454,"[[0], [0, 2, 2], [2], [], [], [], [0, 0], [0], [8, 8, 1, 8, 1, 8, 0, 1, 4, 1, 8]]",1160.7561786581157,5,0.881+((81.80)*(14.18)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 0, 0, 2, 1, 11]"
455,"[[0], [0, 2, 4], [2], [], [0], [0], [0], [0], [8, 1, 2, 3, 9, 8, 8]]",1280.7589362758774,5,0.812+((39.88)*((x[0]-33.941))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 1, 1, 1, 1, 7]"
456,"[[0], [0, 4, 4], [2], [], [0, 0], [0, 0], [], [0], [1, 9, 1]]",1494.2964501409124,4,0.191+(((x[0]-33.941))*((x[0]-33.941))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 2, 2, 0, 1, 3]"
457,"[[0], [0, 4, 4], [2], [], [0, 0], [0, 0], [], [0], [3, 5, 0]]",1494.406174152071,4,0.350+(((x[0]-33.941))*((x[0]-33.941))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 2, 2, 0, 1, 3]"
458,"[[0], [0, 4, 4], [2], [], [0, 0], [0, 0], [], [0], [7, 5, 1]]",1494.6829388344174,4,0.751+(((x[0]-33.941))*((x[0]-33.941))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 2, 2, 0, 1, 3]"
459,"[[0], [1], [], [1], [], [], [0, 0], [0], [1, 1, 9, 3, 0, 8, 1, 0, 7, 3, 2]]",2032.5007992768997,5,0.119+((_exp_((x[0]-30.81)|_div_|07.32))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 0, 2, 1, 11]"
460,"[[0], [0, 2, 2], [2], [], [], [], [0, 0], [0], [6, 0, 4, 3, 7, 2, 8, 8, 9, 6, 8]]",3343.8255784879316,5,0.604+((37.28)*(89.68)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 0, 0, 2, 1, 11]"
461,"[[0], [0, 2, 3], [2], [], [0], [], [0], [0], [7, 3, 6, 6, 4, 0, 6]]",3418.6170230988905,5,0.736+((64.06)*(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 1, 0, 1, 1, 7]"
