,genotype,fitness,tree_depth,phenotype,other_info,mapping_values
82,"[[0], [1], [], [1], [], [0, 0], [0], [3, 5, 0, 4, 7, 2, 9, 4, 7, 3, 7]]",15.042960604527575,5,0.350+((_exp_((x[0]-47.29)|_div_|47.37))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
83,"[[0], [1], [], [2], [], [0], [0, 0], [7, 7, 9, 5, 0, 7, 0, 8, 5, 2]]",15.27710883167382,5,0.779+((_sig_(0.507*(x[0]-08.52)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
84,"[[0], [1], [], [2], [], [0], [0, 0], [8, 1, 3, 9, 5, 2, 1, 5, 4, 1]]",15.339757496491313,5,0.813+((_sig_(0.952*(x[0]-15.41)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 1, 2, 10]"
85,"[[0], [1], [], [1], [], [0, 0], [0], [3, 8, 6, 2, 7, 1, 4, 9, 8, 3, 2]]",15.403051576609672,5,0.386+((_exp_((x[0]-27.14)|_div_|98.32))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
86,"[[0], [1], [], [1], [], [0, 0], [0], [7, 1, 0, 7, 7, 7, 4, 1, 1, 6, 5]]",16.181670313785204,5,0.710+((_exp_((x[0]-77.74)|_div_|11.65))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
87,"[[0], [0, 3, 3], [3], [], [0, 0], [], [0], [7, 9, 5]]",16.572544468568022,4,0.795+((x[0])|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 0, 2, 0, 1, 3]"
88,"[[0], [1], [], [1], [], [0, 0], [0], [6, 2, 2, 4, 9, 9, 1, 3, 9, 4, 7]]",17.878246934211937,5,0.622+((_exp_((x[0]-49.91)|_div_|39.47))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
89,"[[0], [2], [], [], [], [0], [0], [3, 7, 4, 0, 1, 5, 8]]",18.080812799624145,4,0.374+(01.58),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
90,"[[0], [1], [], [1], [], [0, 0], [0], [3, 9, 3, 1, 9, 0, 7, 7, 7, 9, 0]]",18.09954368842861,5,0.393+((_exp_((x[0]-19.07)|_div_|77.90))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 1, 0, 2, 1, 11]"
91,"[[0], [1, 1], [], [0, 2], [], [0], [0, 0], [1, 0, 2, 7, 6, 1, 5, 1, 3, 7]]",18.739166902639305,7,0.102+((_exp_((_sig_(0.761*(x[0]-51.37)))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 2, 0, 1, 2, 10]"
92,"[[0], [2], [], [], [], [0], [0], [1, 1, 6, 0, 1, 9, 8]]",19.427837865586696,4,0.116+(01.98),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 1, 0, 0, 0, 1, 1, 7]"
