,genotype,fitness,mapping_values,tree_depth,phenotype,other_info
277,"[[0], [0, 2, 3, 3, 0, 3, 3], [1, 0, 1], [3], [0, 0, 0], [0, 0, 0], [0, 0], [0, 5, 7, 9, 2, 0, 6, 5, 7, 3, 7]]",0.9992391160611842,"[1, 3, 1, 0, 1, 1, 1, 7]",5,0.057+((92.06)-(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
278,"[[0], [3, 1, 0, 2, 3, 1, 3, 0, 1], [2, 1, 3, 2], [2, 2], [0, 0], [0, 0, 0, 0], [0, 0], [0, 3, 9, 5, 7, 7, 6, 5, 7, 7, 1, 0, 5, 6, 2, 4, 5, 5, 9]]",0.9992968839307111,"[1, 1, 0, 0, 1, 0, 1, 3]",3,0.039+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
279,"[[0], [3, 0, 1], [3, 0], [3], [0], [0, 0, 0], [0, 0], [0, 5, 5, 6, 2, 5, 0, 5, 6, 3, 0, 9, 1, 0, 7, 1, 7, 5]]",0.9992969552706461,"[1, 1, 0, 0, 1, 0, 1, 3]",3,0.055+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
280,"[[0], [3, 1, 2], [0], [2, 2, 1], [0, 0], [0, 0, 0], [0, 0], [0, 5, 6, 6, 3, 1, 2, 4, 8, 8, 5, 6, 5, 3, 7]]",0.9992969597312575,"[1, 1, 0, 0, 1, 0, 1, 3]",3,0.056+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
281,"[[0], [3, 1, 1, 2], [3, 1, 2, 0], [2, 2], [0], [0, 0, 0, 0], [0, 0], [0, 7, 9, 9, 0, 1, 9, 8, 3, 5, 1, 4, 7, 3, 7, 8, 4, 2, 0]]",0.9992970623857844,"[1, 1, 0, 0, 1, 0, 1, 3]",3,0.079+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
282,"[[0], [3, 1, 3, 3, 0, 3, 3], [3, 2, 1], [2, 1], [0, 0, 0], [0, 0, 0], [0, 0], [0, 9, 7, 9, 2, 5, 6, 5, 8, 3, 4]]",0.9992971428047955,"[1, 1, 0, 0, 1, 0, 1, 3]",3,0.097+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
283,"[[0], [3, 0, 0, 2, 0, 1, 3, 1, 3], [2, 3, 2, 2], [2, 2], [0, 0, 0], [0, 0, 0, 0], [0, 0], [4, 4, 9, 2, 3, 1, 2, 5, 8, 9, 0, 6, 5, 0, 7, 0, 7, 4, 4]]",0.9992987294325978,"[1, 1, 0, 0, 1, 0, 1, 3]",3,0.449+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
284,"[[0], [3, 3, 3], [1], [3, 3], [0, 0], [0, 0, 0], [0, 0, 0], [7, 3, 2, 9, 0, 9, 5, 6, 7, 3, 4, 0, 8, 9, 7, 8, 2, 8, 3]]",0.999300023783964,"[1, 1, 0, 0, 1, 0, 1, 3]",3,0.732+(x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
285,"[[0], [0, 1, 3, 0, 1], [0, 2], [3, 3], [0, 0], [0, 0, 0], [0, 0, 0], [5, 5, 9, 6, 6, 9, 2, 9, 1, 9, 2, 0, 5, 9, 7, 1, 0]]",0.9993076653396723,"[1, 3, 1, 1, 1, 1, 2, 10]",6,0.559+(((_sig_(0.669*(x[0]-29.19))))+(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
286,"[[0], [0, 1, 2], [2, 0, 3, 1, 0, 1, 3, 1, 1, 0, 3, 2, 1, 1], [2, 0, 0, 1, 2, 2], [0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0], [0, 8, 1, 8, 2, 5, 5, 2, 9, 7, 6, 8, 7, 9, 7, 8, 0, 1, 9, 9, 6, 6, 3, 2, 0, 4, 4, 4, 1, 0, 2, 0, 2, 5, 5, 9, 6, 2, 0, 6, 6, 4, 7, 2, 1, 0, 3, 8, 6, 8, 2, 8, 7, 8, 1, 3, 6, 3, 0]]",0.9994617338991266,"[1, 3, 1, 1, 0, 3, 1, 15]",6,0.081+(((_exp_((x[0]-82.55)|_div_|29.76)))*(87.97)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
287,"[[0], [0, 3, 2], [0, 2], [3], [0, 0], [0, 0, 0], [0, 0], [0, 7, 3, 3, 3, 0, 5, 4, 7, 9, 1, 9, 6, 0, 4]]",0.9994708569148617,"[1, 3, 1, 0, 1, 1, 1, 7]",5,0.073+((x[0])+(33.05)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
288,"[[0], [0, 1, 2, 1], [0, 0, 0, 0], [3, 2], [0, 0, 0], [0, 0, 0, 0, 0], [0, 0], [6, 5, 6, 1, 1, 8, 2, 8, 8, 8, 9, 8, 3, 1, 1]]",0.9995100564585198,"[1, 3, 1, 1, 0, 2, 2, 14]",6,0.656+(((_sig_(0.118*(x[0]-28.88))))+(98.31)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
289,"[[0], [0, 2, 1, 2], [3, 1, 2, 0], [2, 0], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0], [0, 5, 6, 6, 3, 1, 9, 5, 8, 9, 4, 6, 7, 0, 0]]",0.9995541215482864,"[1, 3, 1, 1, 0, 3, 1, 15]",6,0.056+((63.19)|_div_|((_exp_((x[0]-58.94)|_div_|67.00)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
290,"[[0], [0, 1, 3], [2], [1, 0], [0], [0, 0, 0, 0, 0], [0, 0], [0, 7, 0, 4, 4, 0, 0, 9, 0, 3, 5, 6, 8, 7, 7]]",0.9995864474566588,"[1, 3, 1, 1, 1, 2, 1, 11]",6,0.070+(((_exp_((x[0]-44.00)|_div_|90.35)))*(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
291,"[[0], [0, 2, 1, 2], [3], [2, 3], [0], [0, 0, 0, 0, 0], [0, 0], [0, 5, 7, 9, 3, 2, 3, 5, 8, 6, 4, 6, 7, 8, 7, 8, 8, 0]]",0.9996929325511592,"[1, 3, 1, 1, 0, 3, 1, 15]",6,0.057+((93.23)|_div_|((_exp_((x[0]-58.64)|_div_|67.87)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
292,"[[0], [0, 1, 3], [3, 0, 1, 3, 2], [1, 0], [0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0], [0, 8, 9, 3, 2, 0, 9, 0, 6, 2, 4, 1, 6, 1, 2, 0, 3, 7, 7]]",0.9999245707686526,"[1, 3, 1, 1, 1, 2, 1, 11]",6,0.089+(((_exp_((x[0]-32.09)|_div_|06.24)))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
293,"[[0], [0, 0, 2, 2, 3], [2, 3], [3], [0], [0, 0, 0, 0], [0, 0], [8, 0, 2, 2, 4, 7, 8, 4, 8, 7, 2, 7, 9, 8, 3, 7, 6, 1]]",0.9999529669803615,"[1, 5, 2, 0, 1, 2, 1, 11]",6,0.802+(((24.78)*(48.72))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
