,genotype,fitness,mapping_values,tree_depth,phenotype,other_info
0,"[[0], [0, 1, 0, 2, 1], [3, 2], [3, 2, 3], [0], [0, 0, 0, 0], [0, 0], [0, 3, 4, 5, 8, 1, 1, 0, 0, 3, 9, 5, 5, 8, 7, 0, 9, 5, 3, 2, 3, 0]]",0.015235016898209459,"[1, 5, 2, 2, 0, 4, 2, 22]",7,0.034+(((_sig_(0.581*(x[0]-10.03))))|_div_|((95.58)*((_exp_((x[0]-70.95)|_div_|32.30))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
1,"[[0], [0, 1, 0, 2, 1], [3, 2], [3, 1, 3, 3], [0], [0, 0, 0, 0], [0, 0], [0, 3, 3, 2, 9, 1, 1, 8, 0, 0, 9, 5, 9, 8, 7, 0, 9, 5, 3, 5, 7, 0]]",0.015311583917792405,"[1, 5, 2, 2, 0, 4, 2, 22]",7,0.033+(((_sig_(0.291*(x[0]-18.00))))|_div_|((95.98)*((_exp_((x[0]-70.95)|_div_|35.70))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
2,"[[0], [0, 1, 0, 2, 1], [3, 2], [3, 1, 3, 3], [0], [0, 0, 0, 0], [0, 0], [0, 3, 3, 2, 9, 1, 1, 8, 0, 0, 9, 5, 9, 8, 7, 0, 9, 5, 3, 5, 7, 0]]",0.015311583917792405,"[1, 5, 2, 2, 0, 4, 2, 22]",7,0.033+(((_sig_(0.291*(x[0]-18.00))))|_div_|((95.98)*((_exp_((x[0]-70.95)|_div_|35.70))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
3,"[[0], [0, 1, 3, 2, 1], [3, 0], [3, 2, 3], [0], [0, 0, 0], [0, 0], [0, 3, 1, 4, 0, 5, 1, 5, 1, 0, 9, 5, 5, 8, 7, 0, 9, 5]]",0.015837584769118517,"[1, 3, 1, 1, 1, 1, 2, 10]",6,0.031+(((_sig_(0.405*(x[0]-15.10))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
4,"[[0], [0, 1, 3, 2, 1], [3], [3, 2, 3], [0], [0, 0, 0, 0], [0, 0], [0, 3, 1, 4, 2, 2, 1, 5, 1, 0, 9, 5, 5, 8, 7, 0, 9, 5]]",0.01584739412392871,"[1, 3, 1, 1, 1, 1, 2, 10]",6,0.031+(((_sig_(0.422*(x[0]-15.10))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
5,"[[0], [0, 1, 3, 2, 1], [3], [3, 2, 3], [0], [0, 0, 0, 0], [0, 0], [0, 3, 1, 4, 2, 6, 1, 5, 1, 0, 9, 5, 5, 8, 7, 0, 9, 5]]",0.015850030221402602,"[1, 3, 1, 1, 1, 1, 2, 10]",6,0.031+(((_sig_(0.426*(x[0]-15.10))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
6,"[[0], [0, 1, 3, 2, 1], [3], [3, 1, 3, 3], [0], [0, 0, 0], [0, 0], [0, 3, 1, 4, 3, 2, 1, 5, 1, 0, 9, 5, 5, 8, 7, 0, 9, 5]]",0.015854173594270615,"[1, 3, 1, 1, 1, 1, 2, 10]",6,0.031+(((_sig_(0.432*(x[0]-15.10))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
7,"[[0], [0, 1, 3, 2, 1], [3, 0], [3, 1, 3, 3], [0], [0, 0, 0], [0, 0], [0, 3, 1, 4, 3, 2, 1, 5, 1, 0, 9, 5, 5, 8, 7, 0, 9, 5]]",0.015854173594270615,"[1, 3, 1, 1, 1, 1, 2, 10]",6,0.031+(((_sig_(0.432*(x[0]-15.10))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
8,"[[0], [0, 1, 3, 2, 1], [3], [3, 1, 3, 3], [0], [0, 0, 0], [0, 0], [0, 3, 1, 4, 1, 4, 1, 5, 9, 6, 5, 5, 9, 8, 7, 0, 9, 5]]",0.015860662995932303,"[1, 3, 1, 1, 1, 1, 2, 10]",6,0.031+(((_sig_(0.414*(x[0]-15.96))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
9,"[[0], [0, 1, 3, 2, 1], [3, 0], [3, 2, 3], [0], [0, 0, 0], [0, 0], [0, 3, 1, 4, 7, 5, 1, 5, 1, 0, 9, 5, 5, 8, 7, 0, 9, 5]]",0.01588831145096509,"[1, 3, 1, 1, 1, 1, 2, 10]",6,0.031+(((_sig_(0.475*(x[0]-15.10))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
10,"[[0], [0, 1, 3, 2, 1], [3, 3], [3, 2, 3], [0], [0, 0], [0, 0], [0, 3, 1, 4, 4, 6, 1, 6, 0, 8, 5, 5, 9, 8, 7, 0, 9, 5]]",0.01589001789798911,"[1, 3, 1, 1, 1, 1, 2, 10]",6,0.031+(((_sig_(0.446*(x[0]-16.08))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
11,"[[0], [0, 1, 3, 2, 1], [3], [3, 2, 3], [0], [0, 0, 0, 0], [0, 0], [0, 3, 2, 3, 7, 7, 1, 5, 1, 8, 7, 5, 9, 3, 3, 0, 9, 6, 5, 9, 1, 2, 2, 5, 1, 0, 2, 2]]",0.015894681413904366,"[1, 3, 1, 1, 1, 1, 2, 10]",6,0.032+(((_sig_(0.377*(x[0]-15.18))))|_div_|(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
